Statistical profiling result from prof/object-copy.isolate.log, (557 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.5%    0.5%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::StepOrigin, v8::internal::WorklistToProcess)
      3    0.5%    0.5%  T ___carbon_delete
      2    0.4%    0.4%  t v8::internal::Worklist<std::__1::pair<v8::internal::HeapObject*, int>, 256>::Pop(int, std::__1::pair<v8::internal::HeapObject*, int>*)
      2    0.4%    0.4%  t v8::internal::HeapObject::SizeFromMap(v8::internal::Map*) const
      2    0.4%    0.4%  t v8::internal::(anonymous namespace)::GetOwnPropertyKeys(v8::internal::Isolate*, v8::internal::BuiltinArguments, v8::internal::PropertyFilter)
      2    0.4%    0.4%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      2    0.4%    0.4%  t _small_free_list_remove_ptr_no_clear
      2    0.4%    0.4%  T v8::internal::Runtime_StringToNumber(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.4%    0.4%  T v8::internal::KeyAccumulator::GetKeys(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::KeyCollectionMode, v8::internal::PropertyFilter, v8::internal::GetKeysConversion, bool)
      2    0.4%    0.4%  T v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
      2    0.4%    0.4%  T v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::HeapObjectReference**, v8::internal::Object*)
      2    0.4%    0.4%  T v8::internal::Heap::GetFillToAlign(unsigned char*, v8::internal::AllocationAlignment)
      2    0.4%    0.4%  T v8::internal::FastKeyAccumulator::GetKeys(v8::internal::GetKeysConversion)
      2    0.4%    0.4%  T v8::internal::Factory::InitializeJSObjectBody(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
      2    0.4%    0.4%  T v8::internal::Bitmap::Clear()
      2    0.4%    0.4%  T v8::Value::IsSet() const
      2    0.4%    0.4%  T __simple_dprintf
