Statistical profiling result from prof/fs-extra.isolate.log, (304 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.3%    0.3%  t v8::internal::ParserBase<v8::internal::Parser>::CheckDestructuringElement(v8::internal::Expression*, int, int)
      1    0.3%    0.3%  t v8::internal::LocalAllocator::AllocateInLAB(int, v8::internal::AllocationAlignment)
      1    0.3%    0.3%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      1    0.3%    0.3%  t v8::internal::FunctionCallbackArguments::Call(v8::internal::CallHandlerInfo*)
      1    0.3%    0.3%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::Utf8LengthHelper::Visitor>(v8::Utf8LengthHelper::Visitor*, v8::internal::String*, int)
      1    0.3%    0.3%  t v8::internal::Builtin_Impl_HandleApiCall(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      1    0.3%    0.3%  t v8::internal::(anonymous namespace)::ProbeInstantiationsCache(v8::internal::Isolate*, int, v8::internal::(anonymous namespace)::CachingMode)
      1    0.3%    0.3%  t v8::internal::(anonymous namespace)::FinalizeUnoptimizedCode(v8::internal::ParseInfo*, v8::internal::Isolate*, v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::UnoptimizedCompilationJob*, std::__1::forward_list<std::__1::unique_ptr<v8::internal::UnoptimizedCompilationJob, std::__1::default_delete<v8::internal::UnoptimizedCompilationJob> >, std::__1::allocator<std::__1::unique_ptr<v8::internal::UnoptimizedCompilationJob, std::__1::default_delete<v8::internal::UnoptimizedCompilationJob> > > >*)
      1    0.3%    0.3%  t std::__1::locale::__imp::__imp(std::__1::locale::__imp const&)
      1    0.3%    0.3%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      1    0.3%    0.3%  t std::__1::__hash_iterator<std::__1::__hash_node<node::Environment::CleanupHookCallback, void*>*> std::__1::__hash_table<node::Environment::CleanupHookCallback, node::Environment::CleanupHookCallback::Hash, node::Environment::CleanupHookCallback::Equal, std::__1::allocator<node::Environment::CleanupHookCallback> >::find<node::Environment::CleanupHookCallback>(node::Environment::CleanupHookCallback const&)
      1    0.3%    0.3%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.3%    0.3%  t node::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.3%    0.3%  t _unwind_stack_from_table_index
      1    0.3%    0.3%  t _szone_malloc_should_clear
      1    0.3%    0.3%  t _small_free_list_remove_ptr_no_clear
      1    0.3%    0.3%  t __malloc_initialize
      1    0.3%    0.3%  t ___vfprintf
      1    0.3%    0.3%  T v8::internal::interpreter::ConstantArrayBuilder::InsertIteratorSymbol()
      1    0.3%    0.3%  T v8::internal::interpreter::BytecodeArrayBuilder::CallProperty(v8::internal::interpreter::Register, v8::internal::interpreter::RegisterList, int)
      1    0.3%    0.3%  T v8::internal::interpreter::BytecodeArrayAccessor::current_bytecode_size() const
      1    0.3%    0.3%  T v8::internal::compiler::SourcePositionTable::GetSourcePosition(v8::internal::compiler::Node*) const
      1    0.3%    0.3%  T v8::internal::compiler::Schedule::PlanNode(v8::internal::compiler::BasicBlock*, v8::internal::compiler::Node*)
      1    0.3%    0.3%  T v8::internal::compiler::NodeCache<long long, v8::base::hash<long long>, std::__1::equal_to<long long> >::Find(v8::internal::Zone*, long long)
      1    0.3%    0.3%  T v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      1    0.3%    0.3%  T v8::internal::compiler::LiveRangeConnector::ResolveControlFlow(v8::internal::Zone*)
      1    0.3%    0.3%  T v8::internal::compiler::GraphReducer::ReduceTop()
      1    0.3%    0.3%  T v8::internal::compiler::DeadCodeElimination::Reduce(v8::internal::compiler::Node*)
      1    0.3%    0.3%  T v8::internal::compiler::BytecodeAnalysis::IsLoopHeader(int) const
      1    0.3%    0.3%  T v8::internal::StringToDouble(v8::internal::UnicodeCache*, v8::internal::Handle<v8::internal::String>, int, double)
      1    0.3%    0.3%  T v8::internal::Statement::IsJump() const
      1    0.3%    0.3%  T v8::internal::ScopeInfo::HasSharedFunctionName() const
      1    0.3%    0.3%  T v8::internal::Scavenger::ScavengePage(v8::internal::MemoryChunk*)
      1    0.3%    0.3%  T v8::internal::Scanner::ScanIdentifierOrKeywordInner(v8::internal::Scanner::LiteralScope*)
      1    0.3%    0.3%  T v8::internal::Scanner::Scan()
      1    0.3%    0.3%  T v8::internal::Runtime_CompleteInobjectSlackTrackingForMap(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.3%    0.3%  T v8::internal::Runtime_CompileForOnStackReplacement(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.3%    0.3%  T v8::internal::RootIndexMap::RootIndexMap(v8::internal::Isolate*)
      1    0.3%    0.3%  T v8::internal::Parser::Declare(v8::internal::Declaration*, v8::internal::ParserBase<v8::internal::Parser>::DeclarationDescriptor::Kind, v8::internal::VariableMode, v8::internal::InitializationFlag, bool*, v8::internal::Scope*, int)
      1    0.3%    0.3%  T v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
      1    0.3%    0.3%  T v8::internal::Logger::ApiObjectAccess(char const*, v8::internal::JSObject*)
