Statistical profiling result from prof/winston.isolate.log, (731 ticks, 25 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  Builtin: InterpreterPushArgsThenCall
      1    0.1%    0.1%  Builtin: Divide
      1    0.1%    0.1%  Builtin: CompileLazy
      1    0.1%    0.1%  Builtin: ArrayPrototypeSlice
      1    0.1%    0.1%  Builtin: AdaptorWithBuiltinExitFrame

 [C++]:
   ticks  total  nonlib   name
     88   12.0%   12.3%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     36    4.9%    5.0%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     29    4.0%    4.0%  T v8::internal::SourcePositionTableIterator::Advance()
     25    3.4%    3.5%  T ___channel_get_opt
     19    2.6%    2.6%  T void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     16    2.2%    2.2%  T v8::internal::JSReceiver::GetConstructorName(v8::internal::Handle<v8::internal::JSReceiver>)
     13    1.8%    1.8%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     13    1.8%    1.8%  T _mprotect
     10    1.4%    1.4%  T v8::internal::JSStackFrame::GetMethodName()
      9    1.2%    1.3%  T v8::internal::Factory::NewConsString(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>, int, bool)
      7    1.0%    1.0%  t void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
      7    1.0%    1.0%  T void v8::internal::LookupIterator::Start<false>()
      6    0.8%    0.8%  T v8::internal::TranslatedState::CreateNextTranslatedValue(int, v8::internal::TranslationIterator*, v8::internal::FixedArray*, unsigned char*, v8::internal::RegisterValues*, __sFILE*)
      6    0.8%    0.8%  T v8::internal::AbstractCode::SourcePosition(int)
      6    0.8%    0.8%  T _munmap
      5    0.7%    0.7%  t _szone_malloc_should_clear
      5    0.7%    0.7%  t __enlarge
      5    0.7%    0.7%  T v8::internal::Script::GetPositionInfo(int, v8::internal::Script::PositionInfo*, v8::internal::Script::OffsetFlag) const
      5    0.7%    0.7%  T v8::internal::JSStackFrame::ToString()
      5    0.7%    0.7%  T v8::internal::Factory::NewFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::Object*, v8::internal::PretenureFlag)
      4    0.5%    0.6%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObjectReference**, v8::internal::HeapObject*)
      4    0.5%    0.6%  t v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
      4    0.5%    0.6%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      4    0.5%    0.6%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.5%    0.6%  t __malloc_initialize
      4    0.5%    0.6%  T v8::internal::LookupIterator::FetchValue() const
      4    0.5%    0.6%  T v8::internal::JSStackFrame::HasScript() const
      4    0.5%    0.6%  T v8::internal::JSReceiver::class_name()
